error_rank,match_id,team_id,raw_available,side,patch,game_version,prediction,actual,abs_error,ally_top,ally_jungle,ally_middle,ally_support,ally_adc,enemy_top,enemy_jungle,enemy_middle,enemy_support,enemy_adc,outside_ratio_v5,far_ratio_v5,xp_gap_v5,valid_support_frames_v5,valid_coop_frames_v5,label_diagnostic,support_early_kills,support_early_deaths,support_early_assists,adc_early_kills,adc_early_deaths,adc_early_assists,support_label_window_kills,support_label_window_deaths,support_label_window_assists,adc_label_window_kills,adc_label_window_deaths,adc_label_window_assists,enemy_support_early_kda,enemy_adc_early_kda,bot_related_kill_events_0_12,support_related_kill_events_0_12,adc_related_kill_events_0_12,support_final_kda,adc_final_kda,support_final_vision,support_final_gold,adc_final_gold,support_final_win,qualitative_reading
11,EUW1_7830110048,100,True,blue,16.8,16.8.766.8562,0.3197948722722933,0.9768110531297456,0.6570161808574522,Sion,Naafiri,Azir,Nami,Yasuo,Zaahen,Gwen,Kassadin,Soraka,Smolder,1.0,1.0,0.8460076045627376,6,6.0,consistent_full_roam_label,0,2,2,1,5,0,0,0,2,1,4,0,0/2/7,5/1/1,12,4,6,4/5/11,5/12/1,62,9315,14128,False,modelo infrapredice un roaming extremo; la etiqueta parece consistente: fuera de bot y lejos del ADC casi toda la ventana; support muere 2 vez/veces antes de 12; ADC muere 5 vez/veces antes de 12; support participa en kills tempranas
12,EUW1_7806861902,200,True,red,16.7,16.7.758.4427,0.347330692420286,0.9981423621611766,0.6508116697408906,Vayne,Aatrox,Vladimir,Sona,Yunara,Shen,Ekko,Ryze,Camille,Corki,1.0,1.0,0.9876195835678108,6,3.0,low_valid_coop_frames,1,5,3,0,1,2,1,3,3,0,0,2,1/2/8,4/1/4,16,9,3,6/11/26,7/9/14,125,12558,17394,True,modelo infrapredice un roaming extremo; la etiqueta parece consistente: fuera de bot y lejos del ADC casi toda la ventana; support muere 5 vez/veces antes de 12; ADC muere 1 vez/veces antes de 12; support participa en kills tempranas; requiere cautela por diagnostico de etiqueta: low_valid_coop_frames
13,EUW1_7708834871,200,True,red,16.2,16.2.741.3171,0.130511375849925,0.7771988451075833,0.6466874692576583,Warwick,Ekko,Naafiri,Yuumi,Tristana,Vladimir,Khazix,Ambessa,Milio,Lucian,0.5714285714285714,0.75,0.974619943313579,7,4.0,possible_adc_death_base_coop_artifact,1,1,3,0,4,0,1,1,3,0,3,0,1/1/5,4/2/2,14,5,4,1/6/8,0/10/1,29,6560,7746,False,la etiqueta viene sobre todo de distancia al ADC; support muere 1 vez/veces antes de 12; ADC muere 4 vez/veces antes de 12; support participa en kills tempranas; requiere cautela por diagnostico de etiqueta: possible_adc_death_base_coop_artifact
14,EUW1_7705296763,200,True,red,16.2,16.2.741.3171,0.3453058627302333,0.9915179091201616,0.6462120463899284,Irelia,DrMundo,Sylas,Braum,Vayne,Aatrox,JarvanIV,Orianna,Karma,Varus,1.0,1.0,0.9435328185328185,6,5.0,consistent_full_roam_label,1,3,3,0,3,0,1,3,3,0,2,0,0/0/7,5/0/1,13,7,3,2/10/14,4/7/1,104,9336,13019,False,modelo infrapredice un roaming extremo; la etiqueta parece consistente: fuera de bot y lejos del ADC casi toda la ventana; support muere 3 vez/veces antes de 12; ADC muere 3 vez/veces antes de 12; support participa en kills tempranas
15,EUW1_7831144335,200,True,red,16.8,16.8.766.8562,0.2692621684144822,0.9127383717638704,0.6434762033493882,Malphite,Khazix,Viktor,Taric,Lucian,Jax,Diana,Qiyana,Yuumi,Zeri,0.8333333333333334,1.0,0.8018867924528302,6,5.0,mostly_outside_bot_context,1,1,8,2,1,1,1,0,8,2,0,1,0/3/2,2/1/0,11,10,4,2/2/12,4/2/1,27,5413,7089,True,modelo infrapredice un roaming extremo; la etiqueta viene sobre todo de presencia fuera de bot; support muere 1 vez/veces antes de 12; ADC muere 1 vez/veces antes de 12; support participa en kills tempranas
16,EUW1_7719808217,100,True,blue,16.3,16.3.744.1639,0.3579548532822075,1.0,0.6420451467177924,Zaahen,Kayn,Ambessa,Senna,Veigar,Urgot,Khazix,Kassadin,Blitzcrank,Xerath,1.0,1.0,1.0,6,6.0,consistent_full_roam_label,3,4,2,0,2,0,3,2,2,0,1,0,1/2/6,4/0/3,17,9,2,5/13/9,6/9/4,79,10580,13366,False,la etiqueta parece consistente: fuera de bot y lejos del ADC casi toda la ventana; support muere 4 vez/veces antes de 12; ADC muere 2 vez/veces antes de 12; support participa en kills tempranas
17,EUW1_7765827606,200,True,red,16.5,16.5.751.1533,0.3616237426943109,1.0,0.638376257305689,Akali,DrMundo,Akshan,Ivern,Lucian,Aatrox,FiddleSticks,Kennen,Senna,Jhin,1.0,1.0,1.0,7,6.0,consistent_full_roam_label,0,5,2,0,2,0,0,4,1,0,2,0,0/2/9,4/0/1,16,7,2,0/6/19,5/7/3,71,8636,14036,True,la etiqueta parece consistente: fuera de bot y lejos del ADC casi toda la ventana; support muere 5 vez/veces antes de 12; ADC muere 2 vez/veces antes de 12; support participa en kills tempranas
18,EUW1_7804333236,200,True,red,16.6,16.6.756.9613,0.3595156948080167,0.9962160990675012,0.6367004042594846,Kennen,Qiyana,Ahri,Braum,Varus,Pantheon,Karthus,Ekko,Nautilus,Aphelios,1.0,1.0,0.9747899159663864,5,5.0,consistent_full_roam_label,1,2,1,0,3,0,1,0,0,0,1,0,0/0/5,4/0/1,8,4,3,1/2/2,0/3/0,24,4155,4704,False,la etiqueta parece consistente: fuera de bot y lejos del ADC casi toda la ventana; support muere 2 vez/veces antes de 12; ADC muere 3 vez/veces antes de 12; support participa en kills tempranas
19,EUW1_7803978812,100,True,blue,16.6,16.6.756.9613,0.2188376691832976,0.8554299529687013,0.6365922837854037,Irelia,Gwen,Akali,Yuumi,Corki,Vayne,Nunu,Orianna,Sona,Zed,0.8,1.0,0.5102172788411796,5,3.0,low_valid_coop_frames,0,2,3,0,6,2,0,1,3,0,5,2,1/2/9,5/2/3,16,5,8,0/7/4,0/11/3,9,3695,6444,False,la etiqueta viene sobre todo de presencia fuera de bot; support muere 2 vez/veces antes de 12; ADC muere 6 vez/veces antes de 12; support participa en kills tempranas; requiere cautela por diagnostico de etiqueta: low_valid_coop_frames
20,EUW1_7831462570,200,True,red,16.8,16.8.766.8562,0.2887244524682664,0.9224911599947504,0.6337667075264839,DrMundo,Sejuani,Lissandra,Zyra,Ashe,Darius,Sylas,Vex,Thresh,Jinx,1.0,1.0,0.4900683816346468,4,4.0,consistent_full_roam_label,2,3,6,0,8,3,1,2,6,0,6,2,0/2/12,8/1/1,22,11,11,7/5/15,0/12/12,46,9312,8064,True,modelo infrapredice un roaming extremo; la etiqueta parece consistente: fuera de bot y lejos del ADC casi toda la ventana; support muere 3 vez/veces antes de 12; ADC muere 8 vez/veces antes de 12; support participa en kills tempranas
