champion_id,name,vocab_index,support_archetype,generic_archetype,is_support,primary_class,classes
120,Hecarim,100,,ganker,False,Fighter,Fighter|Tank
121,Kha'Zix,101,,assassin_jg,False,Assassin,Assassin
122,Darius,102,,bruiser,False,Fighter,Fighter|Tank
126,Jayce,103,,unknown,False,Fighter,Fighter|Marksman
127,Lissandra,104,,battle_mage,False,Mage,Mage
131,Diana,105,,assassin_mid,False,Fighter,Fighter|Mage
133,Quinn,106,,ranged_top,False,Marksman,Marksman|Assassin
134,Syndra,107,,control_mage,False,Mage,Mage
136,Aurelion Sol,108,,battle_mage,False,Mage,Mage
141,Kayn,109,,assassin_jg,False,Fighter,Fighter|Assassin
142,Zoe,110,,burst_mage,False,Mage,Mage|Support
143,Zyra,111,mage_support,mage_support,True,Mage,Mage|Support
145,Kai'Sa,112,,hypercarry,False,Marksman,Marksman
147,Seraphine,113,enchanter,enchanter,True,Mage,Mage|Support
150,Gnar,114,,bruiser,False,Fighter,Fighter|Tank
154,Zac,115,,tank_engage,False,Tank,Tank|Fighter
157,Yasuo,116,,splitpusher,False,Fighter,Fighter|Assassin
161,Vel'Koz,117,mage_support,artillery,True,Mage,Mage
163,Taliyah,118,,control_mage,False,Mage,Mage|Support
164,Camille,119,,bruiser,False,Fighter,Fighter|Tank
166,Akshan,120,,assassin_mid,False,Marksman,Marksman|Assassin
200,Bel'Veth,121,,farmer,False,Fighter,Fighter
201,Braum,122,warden,warden,True,Support,Support|Tank
202,Jhin,123,,utility_adc,False,Marksman,Marksman|Mage
203,Kindred,124,,farmer,False,Marksman,Marksman
221,Zeri,125,,hypercarry,False,Marksman,Marksman
222,Jinx,126,,hypercarry,False,Marksman,Marksman
223,Tahm Kench,127,warden,warden,True,Support,Support|Tank
233,Briar,128,,assassin_jg,False,Fighter,Fighter|Assassin
234,Viego,129,,bruiser_jg,False,Assassin,Assassin|Fighter
235,Senna,130,enchanter,utility_adc,True,Marksman,Marksman|Support
236,Lucian,131,,lane_bully,False,Marksman,Marksman
238,Zed,132,,assassin_mid,False,Assassin,Assassin
240,Kled,133,,bruiser,False,Fighter,Fighter|Tank
245,Ekko,134,,assassin_mid,False,Assassin,Assassin|Fighter
246,Qiyana,135,,assassin_mid,False,Assassin,Assassin|Fighter
254,Vi,136,,ganker,False,Fighter,Fighter|Assassin
266,Aatrox,137,,bruiser,False,Fighter,Fighter|Tank
267,Nami,138,enchanter,enchanter,True,Support,Support|Mage
268,Azir,139,,control_mage,False,Mage,Mage|Marksman
350,Yuumi,140,enchanter,enchanter,True,Support,Support|Mage
360,Samira,141,,lane_bully,False,Marksman,Marksman
412,Thresh,142,hook,hook,True,Support,Support|Fighter
420,Illaoi,143,,bruiser,False,Fighter,Fighter|Tank
421,Rek'Sai,144,,ganker,False,Fighter,Fighter
427,Ivern,145,enchanter,enchanter,True,Support,Support|Mage
429,Kalista,146,,utility_adc,False,Marksman,Marksman
432,Bard,147,roamer,roamer,True,Support,Support|Mage
497,Rakan,148,engage_tank,engage_tank,True,Support,Support
498,Xayah,149,,hypercarry,False,Marksman,Marksman
516,Ornn,150,,tank_top,False,Tank,Tank|Fighter
517,Sylas,151,,assassin_mid,False,Mage,Mage|Assassin
518,Neeko,152,mage_support,mage_support,True,Mage,Mage|Support
523,Aphelios,153,,hypercarry,False,Marksman,Marksman
526,Rell,154,engage_tank,engage_tank,True,Tank,Tank|Support
555,Pyke,155,roamer,roamer,True,Support,Support|Assassin
711,Vex,156,,burst_mage,False,Mage,Mage
777,Yone,157,,splitpusher,False,Assassin,Assassin|Fighter
799,champ_799,158,,unknown,False,Unknown,
800,champ_800,159,,unknown,False,Unknown,
804,champ_804,160,,unknown,False,Unknown,
875,Sett,161,,bruiser,False,Fighter,Fighter|Tank
876,Lillia,162,,farmer,False,Fighter,Fighter|Mage
887,Gwen,163,,ap_bruiser,False,Fighter,Fighter|Assassin
888,Renata Glasc,164,enchanter,enchanter,True,Support,Support|Mage
893,champ_893,165,,unknown,False,Unknown,
895,Nilah,166,,lane_bully,False,Fighter,Fighter|Assassin
897,K'Sante,167,,tank_top,False,Tank,Tank|Fighter
901,Smolder,168,,caster_adc,False,Marksman,Marksman
902,Milio,169,enchanter,enchanter,True,Support,Support
904,champ_904,170,,unknown,False,Unknown,
910,Hwei,171,,control_mage,False,Mage,Mage
950,Naafiri,172,,assassin_mid,False,Assassin,Assassin
