champion_name,generated_count,generated_mean,generated_median,generated_std,reference_source,expert_archetype,expert_support_roam_score,expert_confidence,notes,delta_mean_vs_expert
Karma,1019,0.28046712844012683,0.2573342263898192,0.1688492417228098,manual_only,lane_enchanter,0.42,0.7,Lane pressure and poke are central to the champion identity.,-0.13953287155987315
TahmKench,62,0.2758913155306655,0.26733970446475175,0.15833383642195234,manual_only,protective_warden,0.34,0.75,Protective identity usually keeps him near carries.,-0.06410868446933454
Morgana,110,0.27187242461088124,0.22509858766145943,0.1785863163488318,manual_only,pick_enchanter,0.45,0.7,Can roam for binding picks but often plays lane/control.,-0.17812757538911878
Anivia,44,0.27125201580457703,0.24434747178517602,0.15308884513736368,,,,,,
Trundle,34,0.27048567873064516,0.2718004049283236,0.13514246672381247,,,,,,
Zac,24,0.2698322440273561,0.22171646090771688,0.2263041325688378,,,,,,
Ivern,39,0.26568104551677596,0.25170273519687403,0.1586722020942433,,,,,,
Taliyah,18,0.263521975222597,0.24722497945033042,0.13292265954213134,,,,,,
Thresh,787,0.26254883469849005,0.2491136195410807,0.16610680537799027,manual_only,pick_roamer,0.72,0.85,"Hook, lantern and setup make roaming plausible.",-0.4574511653015099
Zilean,275,0.2608113119629446,0.24499609069585612,0.17968974429021617,manual_only,utility_roamer,0.55,0.65,Can roam but often tied to scaling utility.,-0.28918868803705544
Amumu,30,0.25408338910785594,0.22132918838668975,0.17464165939823692,,,,,,
Renata,110,0.2513924234809521,0.2257507641562225,0.17632539273685505,,,,,,
JarvanIV,34,0.2442430650603315,0.25359200544479954,0.14852194219116527,,,,,,
Braum,913,0.23796543200561768,0.21897601145721446,0.1532473450814463,manual_only,protective_warden,0.48,0.75,Can move with jungler but often anchors around marksman.,-0.2420345679943823
Mel,22,0.23105035522352307,0.21308544469953788,0.15002664434740975,,,,,,
Lux,113,0.2247732208618857,0.1953557874762808,0.1446108329385623,manual_only,lane_mage,0.32,0.75,Long-range poke and pick threat mostly from lane.,-0.09522677913811431
Nami,1285,0.22117180617104581,0.2,0.15441804663066838,manual_only,lane_enchanter,0.38,0.75,Strong 2v2 lane identity and ADC synergy.,-0.1588281938289542
Seraphine,185,0.22067017640371767,0.21499999999999997,0.14448998968812798,manual_only,lane_enchanter,0.3,0.7,Usually grouped/lane and teamfight oriented.,-0.07932982359628232
Sona,673,0.21821810813048428,0.19243403338718365,0.15697271845364544,manual_only,scaling_enchanter,0.22,0.8,Weak early roam profile and scaling lane identity.,-0.001781891869515717
Zyra,51,0.21521452167654997,0.22374644978053193,0.13628415897533294,manual_only,lane_mage,0.34,0.75,Lane control and poke identity.,-0.12478547832345005
Soraka,302,0.2138729869517226,0.19042405410809704,0.14992510625609415,manual_only,adc_enabler,0.2,0.85,Very ADC/team protection oriented.,0.013872986951722593
FiddleSticks,53,0.21291589935964522,0.18415271966527194,0.16459590878435124,,,,,,
Lulu,1011,0.21054636811359825,0.1840357882283348,0.15694210830982228,manual_only,adc_enabler,0.28,0.85,Typically lane anchored and marksman oriented.,-0.06945363188640177
Velkoz,147,0.2099382063896168,0.18604047742605084,0.14849685843489904,manual_only,lane_mage,0.28,0.7,Lane poke/artillery support identity.,-0.07006179361038323
Ashe,43,0.2094026149735885,0.16479688686408503,0.18756518643717657,,,,,,
Senna,384,0.19845759265378723,0.1665877717558767,0.15347602642524447,manual_only,marksman_support,0.4,0.7,"Can move, but scaling/poke lane patterns are common.",-0.2015424073462128
Taric,266,0.19337827058430038,0.16301779025246557,0.14188430280525585,manual_only,protective_warden,0.3,0.75,Low early roam identity; values linked ally play.,-0.10662172941569961
Swain,67,0.1923580734813172,0.16150950871632327,0.15788001141141098,manual_only,lane_mage,0.36,0.7,Often lane pressure and skirmish follow-up.,-0.1676419265186828
Shen,14,0.18969418728751128,0.17455024107188793,0.14366332137000676,,,,,,
Milio,395,0.18346522484862207,0.16024455857177797,0.1415853034478879,manual_only,adc_enabler,0.24,0.8,Kit is heavily tied to protecting and amplifying ADC.,-0.05653477515137792
Xerath,30,0.18076320828022935,0.16235775582053968,0.13915523966637502,manual_only,lane_mage,0.26,0.75,Long-range lane poke more than map roaming.,-0.07923679171977066
Yuumi,223,0.09132387538636576,0.05833333333333333,0.11886037291696505,manual_only,adc_enabler,0.08,0.95,Attached play pattern is explicitly lane/carry anchored.,0.011323875386365756
